"project.id","country","p.n","p.do","p.cdate","p.invest","p.year"
"p073367","plurinational state of bolivia","decentralized infrastructure for rural transformation","the project development objective is to expand and improve delivery of electricity through privatesector led mechanisms as acatalyst for the development of rural areas in bolivia",2011-05-27,22400000,2011
"p081402","plurinational state of bolivia","decentralization programatic structural adjustment credit ii","",2004-01-31,2.5e+07,2004
"p082700","plurinational state of bolivia","bo social safety net sac","",2004-06-30,3.5e+07,2004
"p070641","federative republic of brazil","2nd programmatic fiscal reform adjustment loan","",2003-12-31,404040000,2003
"p054119","federative republic of brazil","bahia health system reform project","the development objectives of the bahia health system reform project are to implement the national policy of health care decentralization seeking to i improve access of the poor to basic health care as measured by 10 performance indicators that measure the coverage and quality of the health interventions with the greatest influence over child mortality maternal mortality and the incidence of diseases prevalent among the poor ii reduce inequities in the allocation of publicly funded health care services as measured by differentials between percapita regional budgets and iii improve the efficiency and quality in the use of public resources as measured by the implementation of regulation systems mandated by national policies",2009-08-31,5e+07,2009
"p074655","united mexican states","mx rural finance development structural adjustment loan","the objective of this loan is to support the liquidation of banrural and the creation in its place of financiera rural fr a nonbanking decentralized financial institution in charge of promoting the development of rural financial markets and lending to small and medium rural producersthe fr has received an initial capital endowment through a budgetary allocation by its charter fr cannot mobilize deposits or issue debt it must operate in a way that maintains in real terms the value of its capital endowment dedicated to lending report periodically to congress its financial results and move over time fully to secondtier lending",2005-12-31,805060000,2005
"p091254","republic of colombia","cogefpersistent organic pollutants","tbd",2007-03-31,1100000,2007
"p077788","republic of peru","trade facilitation and productivity improvement technical assistance project","the projects development objectives are to assist the gop to i establish a more streamlined integrated and effective institutional and policy framework to increase nontraditional exports and ii develop and implement initiatives designed to foster the entrance of new export market participants especially small and medium producers",2008-11-30,2.9e+07,2008
"p055232","republic of peru","rural education project","the program will support the peruvian governments objective of improving the quality and equity of  basic education through focused investments in rural areas with the lowest education indicators and through systemic reforms of  teacher policy and education management  this project is the first one of a threephase apl under phase i financing would be provided to support the implementation of key reforms of teaching and system management initiate the investments in rural school infrastructure and quality enhancements and pilot and evaluate alternative models of distance education at the secondary level  specifically the  project will  a expand access to formal and nonformal initial and preschool programs  in rural areas b pilot and evaluate three different modalities of distance education in 116 secondary schools in the targeted rural areas c improve primary school quality in rural areas through specially designed professional development programs for rural teachers focused on multigrade and bilingual education distribution of improved learning materials and rehabilitation of infrastructure where needed and d raise sector efficiency through the implementation of the first phase of teacher policy reforms restructuring of regional offices initiating a decentralization process leading to more autonomous schools with community voice in management  and organizing rural school support network to monitor quality and guide corrective strategies the new national system of student assessment would be strengthened",2007-12-31,94200000,2007
"p064883","republic of guatemala","western altiplano natural resources management project","",2004-12-23,47600000,2004
"p082739","republic of ecuador","ec fiscal consolidation and competitive growth adjustment loan","",2003-12-31,5e+07,2003
"p082395","republic of ecuador","programmatic human development reform loan project","project development objective note will be disclosed in the mos this is the first of three programmatic loans in the social sectors to assist the government of ecuador in protecting the most vulnerable groups at a time of a s evere fiscal adjustment  the economic measures announced by the new government will have an impact of the vu lnerable groups and the loan will help in protecting them from the negative shocks resulting from these meas ures  the loan will include measures in health education social assistance and pensions  at the same tim e the loan will assist the government in the design of policies to  improve the efficiency and targeting of so cial spending  the second and third programmatic loans will be centered  on the implementation of structural reforms in the social sectors  as reforms are implemented in other areas like tax policy competitiveness a nd rationalization of public expenditures the following two loans will  include measures tending to improve the quality and level of investment in the social sectors  board schedule comments",2003-12-31,5e+07,2003
"p083074","argentine republic","argentina economic and social transition structural adjustment loan","",2003-08-29,5e+08,2003
"p077282","republic of chile","cl science for the knowledge economy project","the project seeks two development objectives which in agreement with the governments strategy are expected to place chile on the path to a knowledgebased economy  first and foremost the project will support the development of an effective innovation system it will do so by establishing a strong and coherent policy framework promoting highquality and relevant science and technology activities and by supporting key interfaces in the innovation system especially between the public and private sector as well as international linkages second and subordinate to the first goal the project will improve the stock of human capital in the chilean science and technology sector a development objective which is highly complementary to the establishment of an effective innovation system and per se a critical precondition for establishing a competitive knowledgebased economy the project development objectives will be pursued through the implementation of three components i improving chiles science technology and innovation system ii strengthening chiles science base and iii enhancing publicprivate linkages",2007-03-31,50260000,2007
"p081172","republic of honduras","regional development in the copan valley project","achieve sustainable tourism development based on the cultural and natural patrimony of the copan valley and surrounding areas through a creation of an archeological tourism circuit integrating five archeological parkssites b ecologically sustainable management in the parkssites c capacity building for employment associated with parksite development d strategic planning for tourism development e access to training and technical assistance for products and services provided by locallyowned enterprises and f institutional strengthening for cultural management capacity",2009-03-27,13350000,2009
"p073246","republic of nicaragua","offgrid rural electrification perza","to support the sustainable provision of electricity services and associated social and economic benefits in selected rural sites in nicaragua and strengthen the governments institutional capacity to implement its national rural electrification strategy this would be accomplished by i supporting the government in the design and implementation of its national rural electrification strategy ii implementing innovative publicprivate offgrid electricity delivery mechanisms in several pilot sites for later replication on a national scales and iii demonstrating in the pilot areas the potential of targeted rural microfinance and business development servicces bds to significantly enhance the development impact of rural electrification",2011-12-31,18965620,2011
"p075194","republic of nicaragua","nicaragua offgrid rural electrification","to support the sustainable provision of electricity services and associated social and economic benefits in selected rural sites in nicaragua and strengthen the governments institutional capacity to implement its national rural electrification strategy this would be accomplished by i supporting the government in the design and implementation of its national rural electrification strategy ii implementing innovative publicprivate offgrid electricity delivery mechanisms in several pilot sites for later replication on a national scales and iii demonstrating in the pilot areas the potential of targeted rural microfinance and business development servicces bds to significantly enhance the development impact of rural electrification",2011-12-31,4020000,2011
"p055085","republic of guatemala","second rural and main roads project","the overarching goal of the project is to contribute reducing rural poverty and build social cohesion by improving and maintaining access in rural areas to markets schools health centers and other social and economic infrastructure through broadened community participation by emphasizing beneficiary involvement the project will assure that local development decisions reflect the needs and priorities of rural communities",2013-09-30,63720000,2013
"p049265","federative republic of brazil","recife urban upgrading project","improve the wealth and well being of the urban poor of the beberibe river basin in the recife metropolitan region by increasing the institutional capacity of public and civic entities to plan for deliver and maintain basic shelter services for the lowincome population in a coordinated and sustainable manner  this effort will commence with a focus on improving the built and natural environment of the beberibe river basin in metropolitan recife which will improve the living conditions of the basins approximately 500000 inhabitants living in lowincome settlements along the rivers margins",2011-03-02,8.4e+07,2011
"p078869","republic of colombia","co programmatic fsal i","project development objective note will be disclosed in the mos  board schedule comments icr was submitted to secbo on 122203 following new simplified procedures which are not yet supported in pds system thus milestone date is not yet reflected in sap",2003-06-30,1.5e+08,2003
"p073389","caribbean","mainstreaming adaptation to climate change project","to facilitate the creation of an enabling environment for climate change adaptation in caricom small island and coastal developing states the participating countries are antigua and barbuda bahamas barbados belize dominica grenada cooperative republic of guyana jamaica st christopher and nevis saint lucia st vincent and the grenadines and trinidad and tobago",2009-03-30,10950000,2009
"p078726","oriental republic of uruguay","uruguay public services  social sectors sal","the loan along with loan 7165ur supports reforms to boost economic growth improve the competitiveness of the uruguayan economy and improve the general welfare of the population through better provision of public and social services and infrastructure  specifically this loan aims to reduce prices increase quality and coverage and improve efficiency of investment production and distribution of services and infrastructure through i upgrading regulation by strengthening regulatory frameworks in all sectors ii increasing competition by liberalization in the wholesale power market and mobile phone services and sector restructuring of the petroleum water and sanitation and transport sectors iii improve the efficiency of public expenditure by increasing transparency and accountability and by reducing tax distortions and iv strengthening institutions to carry out functions of regulation market oversight sector planning and management",2007-01-31,151500000,2007
"p081495","oriental republic of uruguay","uruguay public services and social sectors ssal","the loan along with loan 7165ur supports reforms to boost economic growth improve the competitiveness of the uruguayan economy and improve the general welfare of the population through better provision of public and social services and infrastructure  specifically this loan aims to improve the efficiency of public expenditures in health and education while maintaining or improving services in key priority areas through i restructuring national health funding instruments ii reducing cross subsidies in the public hospital network iii protecting priority education programs and iv improving the management of the education sector",2005-12-31,101020000,2005
"p080831","republic of colombia","co programmatic fiscal and institutional structural adjustment loan","",2003-04-30,3e+08,2003
"p074760","republic of nicaragua","programatic structural adjustment credit","",2003-12-31,1.5e+07,2003
"p068250","republic of peru","participatory management of protected areas","the projects development objectives are i to ensure biodiversity conservation by increasing the involvement of civil society institutions and the private sector in the planning and sustainable management of five protected areas pas of the peruvian system of natural protected areas sinanpe ii creation of one pa during project implementation and iii to obtain financial sustainability for the financing of recurrent costs in sinanpe national system of protected areas  the global objective of the project is to contribute to the conservation of biodiversity of global importance in peru",2010-12-31,32810000,2010
"p074726","republic of colombia","bogota urban services project","the objectives of the projects are ito improve quality of life of low income families estratos 1 and 2 by increasing access coverage quality reliability and interagency coordination in the provision of water sanitation transport and related basic services ii to improve citys mobility by providing better access to the public transport system and improving road safety traffic management and transport planning and     iii to strengthen the institutional and administrative framework for an efficient and sustainable delivery of urban services throughout the city",2014-09-30,302670000,2014
"p081834","republic of peru","additional financing  lima water rehabilitation and management project","the do of this additional financing is to extend first time water and sanitation  services to 130000 people in the periurban neighborhoods of lima 
  this will make it possible to meet the target of component ii of the original projectexpand services to the urban poor in the pueblos joveneswhich was the  peru  lima water rehabilitation  mgt under id p008051  loans 38110 3811a 3 811s this objective was not reached under the original project  due to the fail ure of fonavi to finance the associated secondary distribution networks",2009-03-31,29400000,2009
"p080746","federative republic of brazil","hd prgm sector reform loan",NA,2003-12-31,505050000,2003
"p073578","argentine republic","social protection vi project  jefes de hogar heads of household","support a social safety net program which through financing for small infrastructure and productive activities maintenance and community services provides temporary employment to poor workers and improves the living standards in poor communities",2006-07-28,1.987e+09,2006
"p076798","st kitts and nevis","kn hivaids prevention and control project","the objective of the project is to assist the borrower to control the spread of hivaids and to mitigate its impact through a scaling up prevention services for high risk and vulnerable groups and for the borrowers general population  b expanding and strengthening treatment care and support for people living wit h hivaids plwha and mitigating the impact to those infected and affected by t he epidemic and c strengthening the institutional capacity of the moh other government agencies and civil society organizations to ensure an effective multi sectoral response to the epidemic",2009-06-30,4510000,2009
"p074138","republic of colombia","higher education  improving access","the objective of the project is to improve the quality and equity of the borrowers tertiary education system through sub sectors r esponse to societys needs for high quality human capital that will enhance colombias competitiveness in the global market the pro ject will make the colombian tertiary  education system more responsive to demand and promote greater equity and quality in the preparation of tertiary education graduate s it is expected that the project will accomplish the following  increase equity by redesigning and expanding the student loan scheme to enable needy but qualified students to attend i undergra duate university education of good quality and relevance and ii tertiary level technical and short cycle programs of high relevan ce for skill enhancement  improve quality by establishing competitive grants to i improve postgraduate programs in colombia and ii encourage talented  young colombians to pursue advanced degrees  support coherence and efficiency by i enhancing the legal and technical framework ii consolidating and organizing the quality  assurance system in a manner that promotes quality enhancement and institutional commitment and iii building capacity for strategic planning and management in the ministry of educa tion and other governing bodies",2008-12-31,287720000,2008
"p073851","cooperative republic of guyana","poverty reduction support credit project","project development objective note will be disclosed in the mos  the first poverty reduction credit for guyana board schedule comments",2004-01-21,1.2e+07,2004
"p074762","cooperative republic of guyana","public sector technical assistance credit pstac","the objective of the public sector technical assistance credit pstac is to assist the government in building its capacity to meet  the governance and poverty reduction objectives set out in the poverty reduction strategy paper prsp the international developme nt association association will support the implementation of the prsp through a series of poverty reduction support credits prsc s covering a broad range of policies  the pstac supports the first prsc and focuses on two of the seven pillars that comprise the poverty reduction strategy namely i b uild stronger institutions and improve governance andiiimprove safety nets specifically the pstacs development objectives are to  strengthen fiscal financial and fiduciary management  improve the coverage and efficiency of social safety nets  develop institutional capacity to manage monitor evaluate and improve prsp implementation",2007-07-12,5289000,2007
"p078310","federative republic of brazil","caixa  water sector modernization program","support investments in water supply and sewage collection and treatment in poor states and municipalities located in the north northeast and centerwest regions of brazil this operation resulted from the restructuring of the second water sector modernization project loan  4292br following a request from the brazilian government as a result of congress approval of the fiscal resposibility law  project restructuring kept the federal government as borrower of the technical assistance component and upgraded the other two implementing agencies caixa and bndes to borrowers  caixa and bndes are now independent projects",2007-10-31,1.25e+08,2007
"p074426","republic of colombia","jepirachi carbon off set project","the objective of the jepirachi carbon offset project jcp or jepirachi project is to contribute to the reduction of greenhouse gas ghg emissions from the power sector in colombia through the promotion of a 195 mw windbased electricity generation facility the project is expected to displace an estimated 1168 million metric tons of carbon dioxide equivalent mtco2e  over a period of 21 years and will also support a social program that will contribute to improvements in the welfare of the local indigenous community  the jcp will contribute to the development of the international carbon market in colombia through the supply of emission reductions ers developed under the clean development mechanism cdm as set forth under article 12 of the kyoto protocol  by linking the global issue with local development concerns the project truly reflects the spirit of the cdm the ers are classified as high quality because of the reliability of the project and the social benefits represented by the social program for the indigenous people",2020-05-31,2.1e+07,2020
"p076421","republic of costa rica","costa rica  cote hydroelectric project","the objective of the project is to support the national power and light company compania nacional de fuerza y luz in developing initial experience with the clean development mechanism of the kyoto protocol by supporting the development of a 695 mw capacity hydroelectric project in costa rica",2019-08-31,8863000,2019
"p066752","republic of ecuador","national system of protected areas","the project objective is to ensure the conservat ion and management of ecuadors biodiversity for socially sustainable development by strengthening the nation al system of protected areas through improving the legal institutional and financial foundations and capacit ies for the integrated participatory management of protected areas",2007-12-31,36694000,2007
"p059161","united mexican states","introduction of climate friendly measures in transport","the project development objective is to contribute to the development of policies and measures that will assist in a longterm modal shift toward climatefriendly more efficient and less polluting less carbon intensive transport in the mexico city metropolitan area mcma specifically the project will support aspects of the recently completed third air quality management plan aqmiii 20022010 programa para mejorar la calidad del aire en la zmvm 20022010 which are consistent with the gef operational program on sustainable transport op11 and the metropolitan climate change action plan mccap",2009-03-31,12200000,2009
"p073756","jamaica","second bank restructuring and debt management program adjustment loan","project development objective note will be disclosed in the mos  board schedule comments",2002-12-31,7.5e+07,2002
"p071589","jamaica","jm  reform of secondary education project ii","the rose ii project will build on the achievements of the first reform of second ary education rose project through continued improvement of quality and equity  of secondary education and expanded access to secondary education these will b e achieved through i provision of school improvement grants to approximately 100 disadvantaged schools ii provision of pedagogical support to all secondar y schools iii expansion of two existing schools to create 800 additional plac es and iv public financing of 450 student places in independent schools",2009-09-30,6.3e+07,2009
"p076837","jamaica","national community development project","project do are a to help communities in areas affected by economic decline and lack of basic services  and b to assist the government of jamaica t o promote greater social and community development especially among the  poor",2008-06-30,29650000,2008
"p077044","federative republic of brazil","gta institutional strenghtening project","",2005-11-30,1650000,2005
"p073817","republic of peru","programmatic social reform loan project 02","project development objective note will be disclosed in the mos the second phase of the programmatic social reform loan will strengthen and consolidate the decisions and actions taken under the first operation  it will support among others a the development of crisis managem ent mechanisms to assist the transient poorvulnerable and prevent them from falling into chronic poverty b a modernization and capacity building program aimed at strengthening government capacity for social policy f ormulation and program design improving interagency coordination rationalizing mandates and strengthening monitoring and evaluation and c continuation of reforms that would help rationalize expenditures and decen tralize services  in health nutrition education sectors as well as facilitat e the access of the poor to theses services  board schedule comments",2002-12-31,1e+08,2002
"p054937","dominican republic","early childhood education project","",2011-08-30,6.3e+07,2011
"p075871","federative republic of brazil","pcf minas gerais plantar project","",2024-10-31,51300000,2024
"p065256","republic of peru","pe national rural water supply and sanitation project","increase coverage and sustainable use of water and sanitation services in rural  areas and small towns while adopting improved hygiene practices and training in  om",2013-06-30,8e+07,2013
"p080263","oriental republic of uruguay","special structural adjustment loan","",2004-12-31,151520000,2004
"p058503","federative republic of brazil","amazon region protected areas gef","the overall objective of the amazon region protected areas project arpa or the project is to expand and consolidate the protected areas pas system in the amazon region of brazil the proposed project would be the first phase phase 1 of a 10year arpa program the projects objective will be achieved by creating 18 million hectares in new protected areas 9 million hectares of strict protection pas and 9 million hectares of sustainable use the 11 sustainable use protected areas have the goal of conserving biodiversity as well as supporting the communities living in them these protected areas are regulated by management plans that include various use zones some of which protect key environmental values of these areas  including in particular a strict protection zone arpa will support only surveillance and enforcement activities in the sustainable use protected areas to ensure ecological integrity and biodiversity conservation  other objectives include consolidating the management of 7 million hectares of existing strict protection pas in addition to 9 million hectares of the newly created strict protection pas establishing and operating an endowment fund to meet the recurrent costs of protected areas establishing and operating a biodiversity monitoring and evaluation system at the protected area and regional levels  the key performance indicators for phase i are  23 ecoregions in the brazilian amazon analyzed for identification of new pas 18 million hectares of new pas 9 million hectares of strict protection pas and 9 million hectares of sustainable use pas created 7 million hectares of existing strict protection pas and 3 million hectares of new strict protection pas consolidated and managed an endowment fund for financial sustainability of existing strict protection pas established and capitalized with a minimum of us145 million demonstration projects for financial sustainability of pas implemented an environmental monitoring methodology for specific pas defined and program committee conflict mediation committee and two project coordination units one in the ministry of environment mma and one in the brazilian biodiversity fund funbio created and operational",2008-12-31,81500000,2008
"p077172","oriental republic of uruguay","uruguay structural adjustment loan prem","project development objective note will be disclosed in the mos the loan will include policy measures in four main areas i fi scal policy including public expenditures and revenues ii the public housing bank which is a potential drain on scarce fiscal resources apart from its impact on the rest of the financial sector and iii social protention progr ams including unemployment insurance which absorbs a large portion of public expenditures and faces increasing dema nd due to the current crisis  board schedule comments",2004-12-31,151520000,2004
"p074539","united mexican states","programmatic environment structural adjustment loan","",2003-12-31,202020000,2003
"p069861","republic of colombia","social sector adjustment loan project","project development objective note will be disclosed in the mos to support reforms to improve the efficiency and equity of social sector programs  board schedule comments highly tentative",2002-12-31,5.45e+08,2002
"p064919","republic of el salvador","judicial modernization project","the project development objective is to improve el salvadors judicial system by promoting measures aimed at enhancing the effectiveness accessibility and credibility of its judicial branch through a participatory process involving judges technical and administrative staff and users of the judicial system",2010-11-30,24050000,2010
"p076715","grenada","grenada hivaids prevention and control","the project development objective is to assist the government of grenada to cont rol the spread of hivaids and to mitigate its socioeconomic impact through a  scaling up prevention services for both high risk groups and the general popul ation b expanding and strengthening treatment care and support for people li ving with hivaids plwha and c strengthening the institutional capacity of the ministry of health other government agencies and civil society organization s to ensure an effective multisectoral response to the epidemic",2009-06-30,7220000,2009
"p074777","federative republic of brazil","municipal pension tal","the objective of the municipal pension reform project prevmun or programa de apoio a previdencia dos municipios in brazil is to  upgrade municipal pension management the specific objectives are to  i address critical pension problems in 26 of brazils most important municipalities comprising many state capitals plus large muni cipalities and ii strengthen the capacity of the ministry of social security and social assistance mpas to carry out its legal mandate to provi de technical assistance monitor and evaluate pension management and validate performance note that if loan objectives are met successfully they will contribute to the alleviation of much of municipal pension debt since ar ound 90 is accounted for by the largest 50 municipalities also problems in other municpalities will be addressed as the large mun icipalities will be multipliers and examples for smallercontiguous ones",2009-11-30,1e+07,2009
"p060686","united mexican states","municipal development in rural areas","",2006-12-31,642800000,2006
"p070108","united mexican states","savings and credit sector strengthening and rural microfinance capacity building","the projects main objective is to contribute to the integration of lowincome people into the national economy and to the realization of their income generating potential by improving their access to financial services  this is proposed to be achieved by a consolidating the rural financial institutions sector including setting up an information system and providing training to institutional staff and enhanced and rigorous supervision of the performance of the participating institutions at both the principal cnbv and auxiliary levels confederation and federations b improving the outreach capacity of the rural financial institutions and evolving newer and relevant financial instruments on the one hand and providing technical assistance and training to communities in marginal areas to link up with these financial institutions on the other and c undertaking studies to inform the strategy and policy relating to rural finance",2011-02-28,85400000,2011
"p078280","republic of peru","tfscb grant for economic and social data about afroperuvians","",2003-04-30,45238.9,2003
"p066170","federative republic of brazil","rural poverty reduction project  rio grande do norte","the project would assist the state of rio grande do norte to reduce high levels of rural poverty by  a improving wellbeing and incomes of the rural poor through better access to basic social and economic infrastructure and services and support for productive activities using proven communitydriven development techniques b increasing the social capital of rural communities to organize collectively to meet own needs c enhancing local governance by greater citizen participation and transparency in decisionmaking through the creation and strengthening of community associations and municipal councils and d fostering closer integration of development policies programs and projects at the local level by assisting municipal councils to extend their role in seeking funding prioritysetting and decisionmaking over resource allocation",2010-12-31,3e+07,2010
"p076853","republic of guatemala","financial sector technical assistance loan","to provide technical assistance to support the implementation of the governments financial sector reform program aimed at restoring the soundness of the financial system the fstal will provide assistance for i closing and liquidating insolvent banks ii recapitalizing weak but viable banks iii strengthening overall financial regulation and supervision and iv fostering market discipline and competition among financial intermediaries",2009-06-30,5900000,2009
"p074530","republic of guatemala","guatemala financial sector adjustment loan","the broader policy objective of this loan is to assist the guatemalan government to implement its financial sector reform program aimed at bringing about a stronger and better functioning banking sector able to withstand external shocks and to increase prudent lending to the private sector opening access to groups and enterprises today largely excluded from bank financing micro rural and sme financing",2007-03-31,3.5e+08,2007
"p056018","republic of nicaragua","land administration","the longterm development objective of the land administration project is to improve the security of land tenure and thereby  i develop and establish a national policy legal institutional and technical framework to support a systematic property rights administration that is efficient reliable and equitable ii develop implement and validate a systematic methodology which would accelerate and improve the processing of requests for new titles and title reviews in three departments so that it could be subsequently applied nationwide eliminate backlog of title requests iii  achieve substantial progress in the recognition and definition of indigenous peoples land rights and demarcate 15 territories and community lands iv achieve substantial progress in the definition and demarcation of existing and proposed protected areas and critical habitats",2013-04-30,45298275,2013
"p077602","united mexican states","tax administration institutional development project","the projects objective is to increase government tax collection by facilitating voluntary compliance and reducing tax evasion there by improving the efficiency and effectiveness of the mexican governments tax administration service sat",2007-12-31,8.2e+07,2007
"p074750","united mexican states","tax reform adjustment loan project","",2003-06-30,303040000,2003
"p068121","latin america","environmental protection and sustainable development of the guarani aquifer system project","sustainable use and management of the guarani aquifer system in argentina brazil paraguay and uruguay for current and future generations supported by the joint development and implementation of an adequate functioning aquifer management  framework based on sustainable technical scientific institutional legal financial political and environmental grounds",2009-01-31,26760000,2009
"p057653","federative republic of brazil","fundescola iiia third school improvement project","no change in the pdo restructuring only included an additional disbursement cat egory supporting some school construction",2008-06-30,3.2e+08,2008
"p077712","st lucia","st lucia education development project","the overall program objective is to build human capital in the oecs which in tu rn will contribute to the diversification of their economy and more sustainable  growth  this objective will be achieved by  i increasing access to secondar y education ii improving the quality of the teaching and learning process wi th more direct interventions at the school level and a focus on studentcentered  learning and iii strengthening management of the sector and governance of sc hools",2008-09-30,19150000,2008
"p066259","federative republic of brazil","2nd programmatic financial sector adjustment loan","project development objective note will be disclosed in the mos  xxxxxx board schedule comments 22800  moved from fy04 to fy01 as part of the cleanup proces s and be consistent with cas  note for the pcd date  no pcd review will be held as this is the second in a series of programmatic loans and project concept is essentially unchanged  akumar dated feb 22 2002",2002-12-31,404040000,2002
"p076905","federative republic of brazil","energy sector reform loan","project development objective note will be disclosed in the mos  board schedule comments",2002-12-31,1054550000,2002
"p075978","st kitts and nevis","st kitts  nevis education development project","the overall program objective is to build h uman capital in the oecs which in turn will contribute to the diversification of their economy and more sus tainable growth  this objective will be achieved by  i increasing access to secondary education ii imp roving the quality of the teaching and learning process with more  direct interventions at the school level a nd a focus on studentcentered learning and iii strengthening  management of the sector and governance of schools",2009-06-30,6970000,2009
"p087390","republic of ecuador","jsdf grant law and justice for the poor tf051227","proj aims at increasing efficiencyeffectiveness and transparency in judicial process byimproving admcase mgmt procedures and introdu cing spec leal ed progs for judges improving access to justice expandingn use of alternative dispute resolution mechanisms  provi ding an adequate judicial infrastructure",2006-05-30,1780000,2006
"p069923","st vincent and the grenadines","emergency recovery and disaster management project","the program aims at strengthening st vincents ability to manage efficiently and effectively emergency situations in order to reduce the likelihood of loss of life and assets  the project also aims at enhancing the capacity of disaster management agencies and mitigates the adverse effects of disasters that regularly strike the island in particular floods landslides sea surges and hurricanes  to this end the project aims to support the strengthening of physical infrast ructure to better weather natural disasters and enhancing institutional capacity in order to improve responsiveness once disasters have struck",2006-06-30,6810000,2006
"p070552","federative republic of brazil","parana biodiversity project gef",NA,2009-01-31,32857000,2009
"p053575","republic of honduras","health system reform project","the proposed project will support honduras reform program aimed at extending and improving health care coverage and quality by implementing its health reform strategy  the project will  improve access and quality of health care services for the low income population served by the ministry of health moh  it will also support the ongoing efforts to improve the performance of the honduran social security institute ihss and to ensure that increased social security contributions as mandated by the law amending the 1959 social security law recently approved by the honduran congress result in expanded membership and quality of services to the insured population",2010-05-31,3.1e+07,2010
"p043869","federative republic of brazil","santa catarina natural resources management and rural poverty reduction project","the project objective is to reduce rural pove rty in the state of santa catarina while improving the management of natural resources poor rural families incomes and livelihoods would be improved by  i support for government efforts to integrate environmental and social sustainability into development and poverty reduction strategies ii enhanced local governance a nd community participation in decisionmaking iii reversed land  degradation and better protection of the s tates natural resources and iv improvements to incomegenerating  opportunities and living conditions for the rural poor",2009-09-30,107500000,2009
"p070937","oriental republic of uruguay","third basic education quality improvement project","",2012-12-31,91910000,2012
"p068968","plurinational state of bolivia","road rehabilitation and maintenance project","the project  development objective is to improve road transitability and accessibility through the rehabilitation  of key segments of the national and secondary road networks and the strengthening of the countrys capacity to manage road assets  at a broader level the project seeks to preserve economic development along key road links of the national network and facilitate the social and economic integration of the regions and communities in the area of influence of those links",2011-06-30,2.84e+08,2011
"p074641","jamaica","second hivaids project","in order to mitigate the socioeconomic impact of hivaids the project development objectives are to  a reduce hiv transmission especially by targetin g highrisk groups and reducing stigma  b improve treatment care and support for plwha and c strengthe n the national capacity to respond to the epidemic",2008-05-31,31500000,2008
"p074218","republic of ecuador","public sector financial management project",NA,2009-02-27,18840000,2009
"p057531","united mexican states","basic education development phase ii","phase ii of proposed project under apl process",2004-06-30,741100000,2004
"p069269","republic of paraguay","pilot community development project",NA,2008-12-31,11182900,2008
"p068271","republic of chile","chile lifelong learning and training project","1 reduce the social deficit in the provision of lifelong education and training opportunities for young adults and adults especially those who are unemploye d or living in conditions of poverty and those who seek a second chance to improve their employability and quality of life  2 upgrade the skill level of the chilean workforce to improve its productivity and co mpetitiveness",2009-12-31,150750000,2009
"p057665","federative republic of brazil","family health extension program","",2007-06-30,1.36e+08,2007
"p066175","republic of guatemala","integrated financial management iii  technical assistance project","the project restructuring and additional financing is expected to deepen and consolidate reforms initiated under the siaf project geared to increase public sector efficiency and transparency at the central and municipal levels in the areas of public finance planning management and control by strengthening the processes and systems and supporting the institutionalization of these processes and systems through the transfer of ownership to the relevant institutions",2011-06-30,33200000,2011
"p077680","commonwealth of dominica","emergency recovery project","the loancredit was amended to create an adiditonal development objective to all ow for the disbursement of the remaining us 225000 of project savings through to support the recovery effort following the november 2004 earthquake  the amen dment was signed on february 25 2005 and the funds have been disbursed",2005-06-30,3900000,2005
"p077687","st lucia","emergency recovery project","to help safeguard and maintain the productive capacity of the countrys tourism sector notably by securing the industrys energy needs in the aftermath of the september 11th events  to enhance security at key airport and seaport facilities in line with international standards with the aim of preventing acts of terrorism and safeguarding the subregions image as a safe destination and to strengthen the countrys institutional capacity to develop and implement security plans procedures and measures as mandated by the international civil aviation and maritime transport regulatory agencies",2005-12-31,7400000,2005
"p076822","st vincent and the grenadines","emergency recovery project","to help safeguard and maintain the productive cap acity of the countrys tourism sector notably by securing the industrys energy needs in the aftermath of the september 11th events  to enhance security at key airport and seaport facilities in line with international standards with the aim of preventing furthe r acts of terrorism and safeguarding the subregions image as a safe  destination and to strengthen the countrys institutional capacity to develop and implement security plan s procedures and measures as mandated by the international civil aviation and maritime transport regulatory agencies",2005-12-31,3800000,2005
